abashment	 abashment, bashfulness 
repentance	 repentance, penitence, penance 
repugnance	 abhorrent, detestable, obscene, repugnant, repulsive 
repugnance	 detestably, repulsively, abominably, odiously 
repugnance	 disgust, gross_out, revolt, repel 
repugnance	 hideous, repulsive 
repugnance	 repel, repulse 
repugnance	 repugnance, repulsion, revulsion, horror 
resentment	 resentful 
resentment	 resentfully 
resentment	 resentment, bitterness, gall, rancor, rancour 
resignation	 abject, resigned, unhopeful 
resignation	 abjectly, resignedly 
resignation	 resign, reconcile, submit 
resignation	 resignation, surrender 
resignation	 resignedly 
reverence	 fear, reverence, awe, veneration 
reverence	 idolize, idolise, worship, hero-worship, revere 
reverence	 reverence, fear, revere, venerate 
reverence	 reverent 
reverence	 reverentially, reverently 
sadness	 abject, resigned, unhopeful 
sadness	 abjectly, resignedly 
sadness	 ache, smart, hurt 
sadness	 adieu, adios, arrivederci, auf_wiedersehen, au_revoir, bye, bye-bye, cheerio, good-by, goodby, good-bye, goodbye, good_day, sayonara, so_long 
sadness	 attrition, contrition, contriteness 
sadness	 bereaved, bereft, grief-stricken, grieving, mourning(a), sorrowing(a) 
sadness	 blind, unsighted 
sadness	 blue, dark, depressing, dingy, disconsolate, dismal, dispiriting, gloomy, grim, sorry, drab, drear, dreary 
sadness	 blue, depressed, dispirited, down(p), downcast, downhearted, down_in_the_mouth, low, low-spirited 
sadness	 blues, blue_devils, megrims, vapors, vapours 
sadness	 bored, world-weary 
sadness	 bury, entomb, inhume, inter, lay_to_rest 
sadness	 calamity, catastrophe, disaster, tragedy, cataclysm 
sadness	 cheerless, uncheerful 
sadness	 cheerlessly 
sadness	 cheerlessness, uncheerfulness 
sadness	 collision 
sadness	 complain, kick, plain, sound_off, quetch, kvetch 
sadness	 compunction, remorse, self-reproach 
sadness	 contrite 
sadness	 contrite, remorseful, rueful, ruthful 
sadness	 convict 
sadness	 cripple 
sadness	 cry, weep 
sadness	 cynical, misanthropic, misanthropical 
sadness	 cynicism 
sadness	 dangerous, grave, grievous, serious, severe, life-threatening 
sadness	 dead 
sadness	 dead 
sadness	 dead 
sadness	 deadly 
sadness	 defeat, licking 
sadness	 defeated, disappointed, discomfited, foiled, frustrated, thwarted 
sadness	 defeatism 
sadness	 dejected 
sadness	 demonstrator, protester 
sadness	 demoralization, demoralisation 
sadness	 demoralized, demoralised, discouraged, disheartened 
sadness	 demoralizing, demoralising, disheartening, dispiriting 
sadness	 deplorable, execrable, miserable, woeful, wretched 
sadness	 deplorably, lamentably, sadly, woefully 
sadness	 depress, deject, cast_down, get_down, dismay, dispirit, demoralize, demoralise 
sadness	 depressing, depressive, gloomy, saddening 
sadness	 depression 
sadness	 despairing, desperate 
sadness	 despairingly, despondently 
sadness	 despondency, despondence, heartsickness, disconsolateness 
sadness	 despondent, heartsick 
sadness	 die, decease, perish, go, exit, pass_away, expire, pass, kick_the_bucket, cash_in_one's_chips, buy_the_farm, conk, give-up_the_ghost, drop_dead, pop_off, choke, croak, snuff_it 
sadness	 disabled, handicapped 
sadness	 discontent 
sadness	 discontented, discontent 
sadness	 discontentment, discontent, discontentedness 
sadness	 discouragement, disheartenment, dismay 
sadness	 dishearten, put_off 
sadness	 dispiritedly, hopelessly 
sadness	 dispossessed, homeless, roofless 
sadness	 dissatisfaction 
sadness	 dissatisfy 
sadness	 distant 
sadness	 doleful, mournful 
sadness	 dolefully, sorrowfully 
sadness	 dolefulness 
sadness	 dolor, dolour 
sadness	 dolorous, dolourous, lachrymose, tearful, weeping 
sadness	 doomed, ill-fated, ill-omened, ill-starred, unlucky 
sadness	 downheartedness, dejectedness, low-spiritedness, lowness, dispiritedness 
sadness	 downtrodden 
sadness	 dysphoria 
sadness	 dysphoric, distressed, unhappy 
sadness	 exit, go_out, get_out, leave 
sadness	 fall_short_of 
sadness	 forced, unexpected 
sadness	 forlorn 
sadness	 forlornly 
sadness	 forlornness, loneliness, desolation 
sadness	 frustrating, frustrative, thwarting 
sadness	 funeral 
sadness	 gloom, gloominess, somberness, sombreness 
sadness	 gloomily 
sadness	 glooming, gloomy, gloomful, sulky 
sadness	 gloomy, grim, darkening 
sadness	 glum, gloomy, long-faced 
sadness	 grief, heartache, heartbreak, brokenheartedness 
sadness	 grieve, aggrieve 
sadness	 grieve, sorrow 
sadness	 grievous, heartbreaking, heartrending 
sadness	 grievously 
sadness	 guilt, guilty_conscience, guilt_feelings, guilt_trip 
sadness	 hapless, miserable, misfortunate, pathetic, piteous, pitiable, pitiful, poor, wretched 
sadness	 harass, hassle, harry, chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke 
sadness	 heavyhearted 
sadness	 heavyheartedness 
sadness	 helplessness 
sadness	 humble 
sadness	 humility, humbleness 
sadness	 inadequate, poor, short 
sadness	 indict 
sadness	 injured 
sadness	 injury, hurt, harm, trauma 
sadness	 insurgent, insurrectionist, freedom_fighter, rebel 
sadness	 intimidation 
sadness	 jail, jailhouse, gaol, clink, slammer, poky, pokey 
sadness	 kill 
sadness	 laden, oppressed 
sadness	 melancholy 
sadness	 melancholy, melancholic 
sadness	 miserable, suffering, wretched 
sadness	 miserable, wretched 
sadness	 miserably 
sadness	 misery 
sadness	 miss 
sadness	 miss, misfire 
sadness	 mournful, plaintive 
sadness	 mournfully 
sadness	 mournfulness, sorrowfulness, ruthfulness 
sadness	 oppression, oppressiveness 
sadness	 oppressive 
sadness	 oppressive, tyrannical, tyrannous 
sadness	 oppressively 
sadness	 penitent, repentant 
sadness	 penitential 
sadness	 penitently, penitentially, repentantly 
sadness	 pitying, sorry 
sadness	 plaintively 
sadness	 plaintiveness 
sadness	 plead 
sadness	 plead 
sadness	 punish, penalize, penalise 
sadness	 regretful, sorry, bad 
sadness	 regrettable, too_bad 
sadness	 repent, regret, rue 
sadness	 repentance, penitence, penance 
sadness	 resign, reconcile, submit 
sadness	 resignation, surrender 
sadness	 resigned(p) 
sadness	 resignedly 
sadness	 ruefully, contritely, remorsefully 
sadness	 sad 
sadness	 sad 
sadness	 sad 
sadness	 sad 
sadness	 sadden 
sadness	 sadden 
sadness	 sadden 
sadness	 sadly 
sadness	 sadly 
sadness	 sadness, unhappiness 
sadness	 sadness, unhappiness 
sadness	 self-pity 
sadness	 shriek, shrill, pipe_up, pipe 
sadness	 slaughter, massacre, mass_murder, carnage, butchery 
sadness	 sorrow 
sadness	 sorrow, regret, rue, ruefulness 
sadness	 sorrowful 
sadness	 sorrowfully 
sadness	 stall, conk 
sadness	 suicide, felo-de-se 
sadness	 suicide, self-destruction, self-annihilation 
sadness	 tragedy 
sadness	 uncheerfulness 
sadness	 uncommitted 
sadness	 uneager 
sadness	 unenthusiastic 
sadness	 unenthusiastically 
sadness	 unexciting 
sadness	 unfortunate 
sadness	 unfortunately, unluckily, regrettably, alas 
sadness	 unhappily 
sadness	 unhappy 
sadness	 unhappy 
sadness	 unhappy 
sadness	 unlucky, luckless 
sadness	 unsatisfactorily 
sadness	 unsatisfactory 
sadness	 weepiness, tearfulness 
sadness	 weight 
sadness	 woe, woefulness 
sadness	 woebegone, woeful 
sadness	 world-weariness, Weltschmerz 
sanguinity	 sanguine 
sanguinity	 sanguinity, sanguineness 
satisfaction	 appreciated, gratifying, pleasing, satisfying 
satisfaction	 comforting, cheering, satisfying 
satisfaction	 gratifyingly, satisfyingly 
satisfaction	 satiable, satisfiable 
satisfaction	 satisfaction 
satisfaction	 satisfactorily 
satisfaction	 satisfactory 
satisfaction	 satisfied 
satisfaction	 satisfy, gratify 
satisfaction-pride	 preen, congratulate 
satisfaction-pride	 pride 
satisfaction-pride	 proudly, with_pride 
scare	 chilling, scarey, scary, shivery, shuddery 
scare	 daunt, dash, scare_off, pall, frighten_off, scare_away, frighten_away, scare 
scare	 frighten, fright, scare, affright 
scare	 frightened, scared 
scare	 frighteningly, scarily 
scare	 scare, panic_attack 
scruple	 scruple, qualm, misgiving 
security	 reassure 
security	 reassure, assure 
security	 reassured 
security	 reassuring 
security	 reassuringly 
security	 security 
self-consciousness	 self-conscious 
self-consciousness	 self-consciously 
self-consciousness	 self-consciousness, uneasiness, uncomfortableness 
self-depreciation	 self-deprecating 
self-depreciation	 self-depreciation 
self-disgust	 self-disgust, self-hatred 
self-esteem	 self-esteem, self-pride 
self-pity	 self-pity 
sensation	 scandalmongering, sensationalistic, yellow(a) 
sensation	 sensation 
sensation	 sensational 
sensation	 sensationally 
shadow	 shadow 
shame	 ashamed(p) 
shame	 black, disgraceful, ignominious, inglorious, opprobrious, shameful 
shame	 discredited, disgraced, dishonored, shamed 
shame	 disgraceful, scandalous, shameful, shocking 
shame	 disgracefully, ingloriously, ignominiously, discreditably, shamefully, dishonorably, dishonourably 
shame	 shame 
shame	 shame 
shame	 shame 
shamefacedness	 guilty, hangdog, shamefaced, shamed 
shamefacedness	 shamefaced, sheepish 
shamefacedness	 shamefacedly 
shamefacedness	 shamefacedness, sheepishness 
shyness	 shy 
shyness	 shyness 
sinking	 sinking, sinking_feeling 
smugness	 smug, self-satisfied 
smugness	 smugness 
soft-spot	 soft_spot 
softheartedness	 softhearted, soft-boiled 
softheartedness	 softheartedness, tenderness 
solicitude	 solicitous 
solicitude	 solicitously 
solicitude	 solicitude, solicitousness 
stage-fright	 stage_fright 
stewing	 stewing 
stir	 incite, instigate, set_off, stir_up 
stir	 inflame, stir_up, wake, ignite, heat, fire_up 
stir	 stimulate, shake, shake_up, excite, stir 
stir	 stir 
stir	 touch, stir 
stupefaction	 astonishing, astounding, staggering, stupefying 
stupefaction	 besot, stupefy 
stupefaction	 dazed, stunned, stupefied, stupid(p) 
stupefaction	 dumbfounded, dumfounded, flabbergasted, stupefied, thunderstruck, dumbstruck, dumbstricken 
stupefaction	 perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound 
stupefaction	 stun, stupefy 
stupefaction	 stupefaction 
stupefaction	 stupefying 
sulkiness	 brood, hover, loom, bulk_large 
sulkiness	 huffish, sulky 
sulkiness	 sulk, pout, brood 
sulkiness	 sulkiness, huffishness 
surprise	 Bollywood 
surprise	 amaze, astonish, astound 
surprise	 amazed, astonied, astonished, astounded, stunned 
surprise	 amazing, astonishing 
surprise	 amazingly, surprisingly, astonishingly 
surprise	 amazingly, surprisingly, astonishingly 
surprise	 astonishing, astounding, staggering, stupefying 
surprise	 astonishment, amazement 
surprise	 awe 
surprise	 awe 
surprise	 awed, awestruck, awestricken, in_awe_of 
surprise	 awed, awful 
surprise	 besot, stupefy 
surprise	 bizarre, eccentric, freakish, freaky, flaky, flakey, gonzo, off-the-wall, outlandish, outre 
surprise	 bombshell 
surprise	 cryptic, cryptical, deep, inscrutable, mysterious, mystifying 
surprise	 curious, funny, odd, peculiar, queer, rum, rummy, singular 
surprise	 deceptive, delusory 
surprise	 deceptive, misleading, shoddy 
surprise	 dumbfounded, dumfounded, flabbergasted, stupefied, thunderstruck, dumbstruck, dumbstricken 
surprise	 flightiness, arbitrariness, whimsicality, whimsy, whimsey, capriciousness 
surprise	 mystery, mystery_story, whodunit 
surprise	 notion, whim, whimsy, whimsey 
surprise	 perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound 
surprise	 stifle, dampen 
surprise	 stun, stupefy 
surprise	 stunt 
surprise	 stupefaction 
surprise	 stupefying 
surprise	 surprise 
surprise	 surprise 
surprise	 surprise 
surprise	 surprise 
surprise	 surprise 
surprise	 surprise 
surprise	 surprise, surprisal 
surprise	 surprised 
surprise	 surprised 
surprise	 surprisedly 
surprise	 surprisedly 
surprise	 surprising 
surprise	 surprising 
surprise	 surprisingly 
surprise	 surprisingly 
surprise	 top-flight, top-hole, topping 
surprise	 wonder, marvel 
surprise	 wonder, wonderment, admiration 
sympathy	 charitable, benevolent, kindly, sympathetic, good-hearted, openhearted, large-hearted 
sympathy	 sympathetic 
sympathy	 sympathetically, empathetically 
sympathy	 sympathy, fellow_feeling 
tenderness	 affectionate, caring, fond, lovesome, tender, warm 
tenderness	 tender 
tenderness	 tenderly 
tenderness	 tenderness, tenderheartedness 
thing	 thing 
timidity	 diffident, shy, timid, unsure 
timidity	 shyly, timidly, bashfully 
timidity	 timid 
timidity	 timidity, timidness, timorousness 
titillation	 teased, titillated 
titillation	 titillate 
titillation	 titillating 
titillation	 titillation 
togetherness	 togetherness 
tranquillity	 calm, unagitated, serene, tranquil 
tranquillity	 tranquillity, tranquility, quietness, quietude 
tranquillity	 tranquilly 
trepidation	 fearful, timorous, trepid 
trepidation	 timorously, trepidly 
trepidation	 trepidation 
triumph	 exuberate, exult, rejoice, triumph, jubilate 
triumph	 exultant, exulting, jubilant, prideful, rejoicing, triumphal, triumphant 
triumph	 triumph 
triumph	 triumphantly 
triumph	 wallow, rejoice, triumph 
tumult	 tumult, turmoil 
umbrage	 indignant, incensed, outraged, umbrageous 
umbrage	 umbrage, offense, offence 
unassertiveness	 unassertive 
unassertiveness	 unassertively 
unassertiveness	 unassertiveness 
unfriendliness	 unfriendliness 
unfriendliness	 unfriendly 
unfriendliness	 unfriendly, inimical 
unrest	 unrest 
vindictiveness	 despiteful, spiteful, vindictive 
vindictiveness	 revengefully, vengefully, vindictively 
vindictiveness	 vindictiveness, vengefulness 
warmheartedness	 warmhearted 
warmheartedness	 warmheartedness, warmth 
warpath	 warpath 
weakness	 weakness 
weepiness	 dolorous, dolourous, lachrymose, tearful, weeping 
weepiness	 weepiness, tearfulness 
weight	 weight 
withdrawal	 withdrawal, detachment 
woe	 deplorable, execrable, miserable, woeful, wretched 
woe	 deplorably, lamentably, sadly, woefully 
woe	 woe, woefulness 
woe	 woebegone, woeful 
wonder	 fantastic, grand, howling(a), marvelous, marvellous, rattling(a), terrific, tremendous, wonderful, wondrous 
wonder	 wonder, marvel 
wonder	 wonder, wonderment, admiration 
wonder	 wonderfully, wondrous, wondrously, superbly, toppingly, marvellously, terrifically, marvelously 
world-weariness	 bored, world-weary 
world-weariness	 world-weariness, Weltschmerz 
worship	 adoring, worshipful 
worship	 worship, adoration 
wrath	 wrath 
wrath	 wrathful, wroth, wrothful 
wrath	 wrathfully 
